URL,AllMessagesFlag
https://t.me/oxnet_ir,true
https://t.me/DailyV2RY,true
https://t.me/MIND_ROOM2,true
https://t.me/v2raygofree,true
https://t.me/CryptoGuardVPN,true
https://t.me/napsternetvping,true
https://t.me/freeiranianv2rey,true
https://t.me/EmadGraphic,true
https://t.me/redfree8,true
https://t.me/VPN_KING_V2RAY,true
https://t.me/ernoxin_shop,true
https://t.me/DarkVPNpro,true
https://t.me/Free_Vpn_for_All_of_Us,true
https://t.me/NoForcedHeaven,true
https://t.me/v2raybaz,true
https://t.me/freedomofinfor,true
https://t.me/Vpnstable,true
https://t.me/orange_vpns,true
https://t.me/oxnet_ir,false
https://t.me/DailyV2RY,false
https://t.me/MIND_ROOM2,false
https://t.me/v2raygofree,false
https://t.me/CryptoGuardVPN,false
https://t.me/napsternetvping,false
https://t.me/freeiranianv2rey,false
https://t.me/EmadGraphic,false
https://t.me/redfree8,false
https://t.me/VPN_KING_V2RAY,false
https://t.me/ernoxin_shop,false
https://t.me/DarkVPNpro,false
https://t.me/Free_Vpn_for_All_of_Us,false
https://t.me/NoForcedHeaven,false
https://t.me/v2raybaz,false
https://t.me/freedomofinfor,false
https://t.me/Vpnstable,false
https://t.me/orange_vpns,false
